Date,Open,High,Low,Close,Adj Close,Volume
7/6/2023,4422.62,4422.62,4385.05,4411.59,4411.59,2224381526
7/7/2023,4404.54,4440.39,4397.4,4398.95,4398.95,2111125773
7/10/2023,4394.23,4412.6,4389.92,4409.53,4409.53,2168941075
7/11/2023,4415.55,4443.64,4408.46,4439.26,4439.26,2129927844
7/12/2023,4467.69,4488.34,4463.23,4472.16,4472.16,2330249912
7/13/2023,4491.5,4517.38,4489.36,4510.04,4510.04,2254150794
7/14/2023,4514.61,4527.76,4499.56,4505.42,4505.42,2379047405
7/17/2023,4508.86,4532.85,4504.9,4522.79,4522.79,2359710601
7/18/2023,4521.78,4562.3,4514.59,4554.98,4554.98,2538849602
7/19/2023,4563.87,4578.43,4557.48,4565.72,4565.72,2597461645
7/20/2023,4554.38,4564.74,4527.56,4534.87,4534.87,2595426819
7/21/2023,4550.16,4555,4535.79,4536.34,4536.34,3277670172
7/24/2023,4543.39,4563.41,4541.29,4554.64,4554.64,2156130111
7/25/2023,4555.19,4580.62,4552.42,4567.46,4567.46,2305628861
7/26/2023,4558.96,4582.47,4547.58,4566.75,4566.75,2320509101
7/27/2023,4598.26,4607.07,4528.56,4537.41,4537.41,2680598316
7/28/2023,4565.75,4590.16,4564.01,4582.23,4582.23,2363048132
7/31/2023,4584.82,4594.22,4573.14,4588.96,4588.96,2415231060
8/1/2023,4578.83,4584.62,4567.53,4576.73,4576.73,2179828757
8/2/2023,4550.93,4550.93,4505.75,4513.39,4513.39,2467424038
8/3/2023,4494.27,4519.49,4485.54,4501.89,4501.89,2363725888
8/4/2023,4513.96,4540.34,4474.55,4478.03,4478.03,2411632698
8/7/2023,4491.58,4519.84,4491.15,4518.44,4518.44,2051647102
8/8/2023,4498.03,4503.31,4464.39,4499.38,4499.38,2169756994
8/9/2023,4501.57,4502.44,4461.33,4467.71,4467.71,2058789858
8/10/2023,4487.16,4527.37,4457.92,4468.83,4468.83,2116254445
8/11/2023,4450.69,4476.23,4443.98,4464.05,4464.05,1849920370
8/14/2023,4458.13,4490.33,4453.44,4489.72,4489.72,1957703753
8/15/2023,4478.87,4478.87,4432.19,4437.86,4437.86,1976890010
8/16/2023,4433.79,4449.95,4403.55,4404.33,4404.33,2007563221
8/17/2023,4416.32,4421.17,4364.83,4370.36,4370.36,2222818962
8/18/2023,4344.88,4381.82,4335.31,4369.71,4369.71,2159681725
8/21/2023,4380.28,4407.55,4360.3,4399.77,4399.77,2058836126
8/22/2023,4415.33,4418.59,4382.77,4387.55,4387.55,1904585562
8/23/2023,4396.44,4443.18,4396.44,4436.01,4436.01,2021761268
8/24/2023,4455.16,4458.3,4375.55,4376.31,4376.31,2082566773
8/25/2023,4389.38,4418.46,4356.29,4405.71,4405.71,1892067072
8/28/2023,4426.03,4439.56,4414.98,4433.31,4433.31,1631738412
8/29/2023,4432.75,4500.14,4431.68,4497.63,4497.63,1884706898
8/30/2023,4500.34,4521.65,4493.59,4514.87,4514.87,1788662114
8/31/2023,4517.01,4532.26,4507.39,4507.66,4507.66,2319094206
9/1/2023,4530.6,4541.25,4501.35,4515.77,4515.77,1927089047
9/5/2023,4510.06,4514.29,4496.01,4496.83,4496.83,2126482524
9/6/2023,4490.35,4490.35,4442.38,4465.48,4465.48,2134658586
9/7/2023,4434.55,4457.81,4430.46,4451.14,4451.14,2443175221
9/8/2023,4451.3,4473.53,4448.38,4457.49,4457.49,2079878833
9/11/2023,4480.98,4490.77,4467.89,4487.46,4487.46,2165432407
9/12/2023,4473.27,4487.11,4456.83,4461.9,4461.9,2188365100
9/13/2023,4462.65,4479.39,4453.52,4467.44,4467.44,2265557149
9/14/2023,4487.78,4511.99,4478.69,4505.1,4505.1,2273685163
9/15/2023,4497.98,4497.98,4447.21,4450.32,4450.32,4239330106
9/18/2023,4445.13,4466.36,4442.11,4453.53,4453.53,1925329039
9/19/2023,4445.41,4449.85,4416.61,4443.95,4443.95,2013002833
9/20/2023,4452.81,4461.03,4401.38,4402.2,4402.2,1981250299
9/21/2023,4374.36,4375.7,4329.17,4330,4330,2292425252
9/22/2023,4341.74,4357.4,4316.49,4320.06,4320.06,2131667228
9/25/2023,4310.62,4338.51,4302.7,4337.44,4337.44,1860152658
9/26/2023,4312.88,4313.01,4265.98,4273.53,4273.53,2130315512
9/27/2023,4282.63,4292.07,4238.63,4274.51,4274.51,2299352689
9/28/2023,4269.65,4317.27,4264.38,4299.7,4299.7,2240204319
9/29/2023,4328.18,4333.15,4274.86,4288.05,4288.05,2406132169
10/2/2023,4284.52,4300.58,4260.21,4288.39,4288.39,2374624170
10/3/2023,4269.75,4281.15,4216.45,4229.45,4229.45,2421468261
10/4/2023,4233.83,4268.5,4220.48,4263.75,4263.75,2324498903
10/5/2023,4259.31,4267.13,4225.91,4258.19,4258.19,2214792439
10/6/2023,4234.79,4324.1,4219.55,4308.5,4308.5,2489880710
10/9/2023,4289.02,4341.73,4283.79,4335.66,4335.66,1988768924
10/10/2023,4339.75,4385.46,4339.64,4358.24,4358.24,2166155537
10/11/2023,4366.59,4378.64,4345.34,4376.95,4376.95,2123886315
